feature,CFU_p,radiodensity (HU)_p,stdev radiodensity (HU)_p,soft volume (mL)_p,hard volume (mL)_p,PET activity (SUV)_p,∆ radiodensity (HU)_p,∆ stdev radiodensity (HU)_p,∆ soft volume (mL)_p,∆ hard volume (mL)_p,∆ PET activity (SUV)_p,CFU_p2,radiodensity (HU)_p2,stdev radiodensity (HU)_p2,soft volume (mL)_p2,hard volume (mL)_p2,PET activity (SUV)_p2,∆ radiodensity (HU)_p2,∆ stdev radiodensity (HU)_p2,∆ soft volume (mL)_p2,∆ hard volume (mL)_p2,∆ PET activity (SUV)_p2
 7N cellPK FBC50 ,0.07,0.32,0.53,0.95,0.67,0.86,0.32,0.41,0.25,0.45,0.78,0.09,0.07,0.98,0.64,0.19,0.98,0.34,0.54,0.39,0.85,0.81
  5N cellPK FBC90 ,0.74,0.85,0.86,0.18,0.48,0.44,0.57,0.63,0.57,0.51,0.31,0.68,0.60,0.79,0.82,0.16,0.64,0.35,0.52,0.17,0.83,0.70
 7H cellPK FBC90 ,0.20,0.18,0.30,0.85,0.70,0.04,0.18,0.80,0.28,0.36,0.31,0.27,0.39,0.40,0.76,0.48,0.39,0.53,0.89,0.01,0.30,0.76
 7N cellPK FBC90 ,0.18,0.04,0.04,0.48,0.59,0.06,0.04,0.45,0.53,0.98,0.55,0.18,0.36,0.43,0.55,0.85,0.46,0.93,0.26,0.30,0.17,0.64
  5N equip AUC50 ,0.63,0.82,0.75,1.00,0.55,0.25,0.46,0.30,0.15,0.16,0.27,0.32,0.06,0.44,0.93,0.15,0.25,0.08,0.38,0.33,0.03,0.25
 7H equip AUC50 ,0.85,0.55,0.13,0.30,0.60,0.62,0.11,0.54,0.63,0.53,0.11,0.82,0.62,0.19,0.10,0.71,0.16,0.39,0.57,0.96,0.96,0.25
 7N equip AUC50 ,0.57,0.17,0.15,0.33,0.19,0.79,0.39,0.25,0.96,0.37,0.33,0.58,0.98,0.37,0.04,0.12,0.99,0.48,0.59,0.43,0.72,0.71
  5N equip FBC50 ,0.72,0.51,0.86,0.23,0.11,0.02,0.49,0.52,0.01,0.08,0.10,0.60,0.03,0.95,0.96,0.10,0.04,0.04,0.78,0.16,0.06,0.02
 7H equip FBC50 ,0.20,0.89,0.83,0.41,0.22,0.16,0.39,0.71,0.13,0.58,0.44,0.19,0.86,0.96,0.74,0.46,0.25,0.89,0.38,0.63,0.88,0.01
 7N equip FBC50 ,0.25,0.29,0.35,0.83,0.86,0.09,0.11,0.85,0.35,0.98,0.71,0.22,0.86,0.54,0.67,0.17,0.26,0.75,0.38,0.03,0.20,0.92
5N equip FBC90 ,0.01,0.99,0.74,0.51,0.21,0.54,0.72,0.89,0.24,0.52,0.83,0.02,0.52,0.96,0.70,0.58,0.82,0.91,0.71,0.62,0.53,0.28
 7H equip FBC90 ,0.14,0.85,0.52,0.78,0.40,0.74,0.63,0.58,0.49,0.67,0.57,0.09,0.52,0.71,0.72,0.62,0.19,0.64,0.70,0.17,0.82,0.11
 7N equip FBC90 ,0.95,0.99,0.95,0.55,0.41,0.16,0.41,0.39,0.36,0.58,0.58,0.75,0.60,0.43,0.16,0.05,0.75,0.79,0.01,0.14,0.28,0.95
